City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Shimoda,JP,87.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
662,Wanning,CN,86.95,broken clouds,18.8003,110.3967,Paradise Hotel
664,Gorontalo,ID,84.29,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
666,Murgab,TM,76.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
667,Nabire,ID,81.81,few clouds,-3.3667,135.4833,Hotel Nusantara I
668,Abu Dhabi,AE,87.91,broken clouds,24.4667,54.3667,Beach Rotana
669,Tamiahua,MX,81.16,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
670,Key Largo,US,83.98,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
671,Paciran,ID,82.98,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
675,Montes Altos,BR,76.06,broken clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
680,Waddan,LY,78.33,clear sky,29.1614,16.139,محل الشريف محمد العايب
681,Farmington,US,83.08,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
683,Karratha,AU,77.68,clear sky,-20.7377,116.8463,ibis Styles Karratha
684,Gouyave,GD,77.77,scattered clouds,12.1646,-61.7296,Rumboat Retreat
687,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
688,Lagunas,PE,75.22,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
