City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Abbeville,FR,2022-07-19 03:01:51,50.1,1.8333,69.76,31,0,8.79
111,Ponta Delgada,PT,2022-07-19 03:03:07,37.7333,-25.6667,75.51,83,75,6.91
112,Buraydah,SA,2022-07-19 03:03:08,26.326,43.975,86.32,13,7,8.14
113,Yulara,AU,2022-07-19 02:58:08,-25.2406,130.9889,69.58,18,0,7.7
114,Saskylakh,RU,2022-07-19 03:03:08,71.9167,114.0833,42.69,73,100,16.17
115,Izhma,RU,2022-07-19 03:03:09,65.0083,53.9113,69.85,64,70,5.64
116,Praia,CV,2022-07-19 03:00:30,14.9215,-23.5087,74.84,86,92,8.59
117,Anadyr,RU,2022-07-19 03:03:10,64.75,177.4833,59.5,44,0,17.9
118,Aleppo,SY,2022-07-19 03:03:11,36.25,37.5,75.94,56,0,10.6
119,Kaitangata,NZ,2022-07-19 03:03:12,-46.2817,169.8464,45.16,86,100,8.03
120,Carnarvon,AU,2022-07-19 03:03:12,-24.8667,113.6333,69.57,43,0,11.16
121,Hambantota,LK,2022-07-19 03:00:21,6.1241,81.1185,82.74,83,20,6.91
122,Chhuikhadan,IN,2022-07-19 03:03:13,21.5333,80.9833,74.12,90,100,9.66
123,Yarada,IN,2022-07-19 03:03:13,17.65,83.2667,86.32,74,40,11.5
124,Sarangani,PH,2022-07-19 03:03:14,5.4033,125.4636,82.62,69,99,1.48
125,Walvis Bay,NA,2022-07-19 03:03:14,-22.9575,14.5053,54.09,92,3,7.63
126,Vestmannaeyjar,IS,2022-07-19 03:00:22,63.4427,-20.2734,50.45,91,100,7.47
127,Bannu,PK,2022-07-19 03:04:17,32.9854,70.6027,94.42,43,0,1.9
128,Kruisfontein,ZA,2022-07-19 03:04:18,-34.0033,24.7314,52.88,92,50,4.43
129,Arraial Do Cabo,BR,2022-07-19 03:04:18,-22.9661,-42.0278,69.42,91,100,15.43
130,Lasa,IT,2022-07-19 03:04:19,46.6166,10.7002,64.36,85,18,0.87
131,Sao Joao Da Barra,BR,2022-07-19 03:04:20,-21.6403,-41.0511,70.45,88,31,8.95
132,Saint George,US,2022-07-19 03:02:48,37.1041,-113.5841,99.95,21,0,6.91
133,Poya,NC,2022-07-19 03:04:20,-21.35,165.15,76.33,79,98,10.16
134,Bilma,NE,2022-07-19 03:04:21,18.6853,12.9164,86.0,42,21,6.98
135,Castro,BR,2022-07-19 03:04:21,-24.7911,-50.0119,56.57,99,100,1.77
136,Lincoln,US,2022-07-19 02:59:59,40.8,-96.667,78.62,81,0,1.99
137,Singaparna,ID,2022-07-19 03:04:22,-7.3515,108.111,78.53,79,81,3.69
138,Pangody,RU,2022-07-19 03:04:23,65.85,74.4859,66.2,48,27,9.73
139,Camacha,PT,2022-07-19 03:04:24,33.0833,-16.3333,65.62,77,40,9.22
140,Karakol,KG,2022-07-19 03:01:09,42.4907,78.3936,70.99,43,0,4.23
141,Chapais,CA,2022-07-19 03:04:25,49.7834,-74.8492,68.22,69,100,7.36
142,Ontario,US,2022-07-19 03:00:29,34.0633,-117.6509,92.39,45,20,14.97
143,Batesville,US,2022-07-19 03:04:25,35.7698,-91.641,81.01,78,75,5.75
144,Mogadishu,SO,2022-07-19 03:04:26,2.0371,45.3438,74.93,82,67,19.33
145,Henties Bay,NA,2022-07-19 03:04:26,-22.116,14.2845,55.85,95,2,6.06
146,Kerman,IR,2022-07-19 03:04:27,30.2832,57.0788,81.14,10,80,1.74
147,Kurilsk,RU,2022-07-19 03:04:28,45.2333,147.8833,61.39,81,47,7.94
148,Sindou,BF,2022-07-19 03:04:28,10.6667,-5.1667,71.6,96,100,4.36
149,Okhotsk,RU,2022-07-19 03:03:10,59.3833,143.3,62.78,79,85,8.41
150,Formosa Do Rio Preto,BR,2022-07-19 03:04:29,-11.0483,-45.1931,67.12,55,16,4.29
151,Tasiilaq,GL,2022-07-19 03:04:30,65.6145,-37.6368,35.76,87,10,1.54
152,Espanola,US,2022-07-19 03:04:30,35.9911,-106.0806,88.65,28,45,7.0
153,Maneadero,MX,2022-07-19 03:04:31,31.7167,-116.5667,70.11,79,15,1.99
154,Upernavik,GL,2022-07-19 03:04:32,72.7868,-56.1549,43.57,78,100,6.26
155,Lucapa,AO,2022-07-19 03:04:32,-8.4192,20.7447,62.29,43,42,4.92
156,Rondonopolis,BR,2022-07-19 03:04:32,-16.4708,-54.6356,69.01,30,20,2.19
157,Nobeoka,JP,2022-07-19 03:04:33,32.5833,131.6667,85.86,72,100,10.2
158,Marsa Matruh,EG,2022-07-19 03:04:34,31.3525,27.2453,76.48,74,0,13.78
159,Pevek,RU,2022-07-19 03:04:34,69.7008,170.3133,33.91,92,97,5.75
160,Lagoa,PT,2022-07-19 03:04:35,39.05,-27.9833,68.85,88,100,11.03
161,Ketchikan,US,2022-07-19 03:04:35,55.3422,-131.6461,55.87,88,100,6.91
162,Piacabucu,BR,2022-07-19 03:04:36,-10.4056,-36.4344,73.54,81,14,11.45
163,Cidreira,BR,2022-07-19 03:04:36,-30.1811,-50.2056,54.27,92,5,5.01
164,Norman Wells,CA,2022-07-19 03:04:37,65.282,-126.8329,58.35,98,100,7.65
165,Mahibadhoo,MV,2022-07-19 03:04:38,3.7833,72.9667,82.94,76,100,19.86
166,Bluff,NZ,2022-07-19 03:04:38,-46.6,168.3333,45.81,69,96,15.68
167,Te Anau,NZ,2022-07-19 03:01:10,-45.4167,167.7167,41.49,98,100,4.74
168,Aquin,HT,2022-07-19 03:04:39,18.2833,-73.4,79.07,80,1,2.48
169,Puerto Escondido,MX,2022-07-19 03:05:40,15.85,-97.0667,83.23,61,0,3.44
170,Luwingu,ZM,2022-07-19 03:05:41,-10.2621,29.9271,49.96,88,2,4.68
171,Namibe,AO,2022-07-19 03:05:41,-15.1961,12.1522,64.27,84,0,3.98
172,Brenham,US,2022-07-19 03:05:42,30.1669,-96.3977,91.31,61,0,16.11
173,Termiz,UZ,2022-07-19 03:05:42,37.2242,67.2783,82.49,30,0,6.91
174,Changchun,CN,2022-07-19 03:05:43,43.88,125.3228,76.15,74,66,4.07
175,Selcuk,TR,2022-07-19 03:05:43,37.9514,27.3685,75.07,60,0,7.25
176,Iqaluit,CA,2022-07-19 03:03:15,63.7506,-68.5145,46.51,68,90,8.99
177,Nowa Deba,PL,2022-07-19 03:05:44,50.4297,21.7508,62.26,69,58,5.46
178,Amapa,BR,2022-07-19 03:05:44,1.0,-52.0,71.15,99,100,1.28
179,Nola,IT,2022-07-19 03:05:45,40.922,14.5329,81.63,55,0,4.76
