City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Umm Lajj,SA,25.0213,37.2685,84.81,65,58,7.49,broken clouds
184,Saldanha,ZA,-33.0117,17.9442,44.65,68,0,4.47,clear sky
185,Sitka,US,57.0531,-135.33,60.69,77,100,3.44,overcast clouds
186,Caravelas,BR,-17.7125,-39.2481,68.38,84,14,2.33,few clouds
187,Acapulco,MX,16.8634,-99.8901,82.22,78,75,3.44,broken clouds
188,Bafq,IR,31.6128,55.4107,83.98,55,81,5.91,broken clouds
189,Eschen,LI,47.2107,9.5222,62.56,82,54,1.01,broken clouds
190,Diffa,NE,13.3154,12.6113,78.48,73,100,7.83,overcast clouds
191,Ipixuna,BR,-1.7625,-48.8043,77.13,84,94,3.31,overcast clouds
192,Sattenapalle,IN,16.4,80.1833,81.32,81,100,3.83,overcast clouds
193,Ancud,CL,-41.8697,-73.8203,44.29,91,22,4.94,few clouds
194,Banda Aceh,ID,5.5577,95.3222,80.6,76,92,3.42,overcast clouds
195,Tezu,IN,27.9167,96.1667,77.14,96,99,1.19,overcast clouds
196,Vila Velha,BR,-20.3297,-40.2925,66.94,90,75,3.44,broken clouds
197,Thompson,CA,55.7435,-97.8558,60.96,77,75,4.61,broken clouds
198,Scarborough,GB,54.2797,-0.4044,59.32,80,100,8.99,overcast clouds
199,Port Elizabeth,ZA,-33.918,25.5701,57.09,93,40,2.3,scattered clouds
200,Pita,GN,10.8333,-12.5833,72.81,99,100,1.99,overcast clouds
201,Eureka,US,40.8021,-124.1637,67.19,79,23,5.01,few clouds
202,Katsuura,JP,35.1333,140.3,84.22,79,83,11.9,broken clouds
203,Laguna,US,38.421,-121.4238,99.45,32,0,12.66,clear sky
204,Iralaya,HN,15.0,-83.2333,79.56,82,1,8.72,clear sky
205,San Jose,US,37.3394,-121.895,85.59,52,75,11.5,smoke
206,Yulara,AU,-25.2406,130.9889,57.49,23,10,13.98,clear sky
207,San Patricio,US,28.017,-97.5169,87.75,65,5,12.91,clear sky
208,Whitehaven,GB,54.549,-3.5841,57.65,82,100,1.01,overcast clouds
209,Saint-Georges,GD,12.0564,-61.7485,78.48,89,40,10.36,scattered clouds
210,Luba,GQ,3.4568,8.5547,76.89,89,100,12.37,light rain
211,Aklavik,CA,68.2191,-135.0107,56.23,54,96,14.88,overcast clouds
212,Asau,RO,46.4333,26.4,63.52,86,9,3.96,clear sky
213,Athabasca,CA,54.7169,-113.2854,78.15,62,24,5.1,few clouds
214,Bethel,US,41.3712,-73.414,76.17,72,0,0.0,clear sky
215,Abha,SA,18.2164,42.5053,64.22,72,40,10.36,scattered clouds
216,Radhanpur,IN,23.8333,71.6,81.41,79,91,10.27,overcast clouds
217,Warrington,GB,53.3925,-2.5802,60.91,94,20,3.44,few clouds
218,Tuatapere,NZ,-46.1333,167.6833,44.56,94,100,1.77,light rain
219,Marsh Harbour,BS,26.5412,-77.0636,82.18,73,57,12.08,broken clouds
220,Opuwo,NA,-18.0607,13.84,58.71,28,33,5.64,scattered clouds
221,Solwezi,ZM,-12.1688,26.3894,50.7,62,75,3.67,broken clouds
222,Dingle,PH,10.9995,122.6711,86.04,73,100,9.1,overcast clouds
223,Vestmanna,FO,62.1564,-7.1664,50.92,100,100,12.66,overcast clouds
224,Dalvik,IS,65.9702,-18.5286,51.73,82,5,9.78,clear sky
225,Nioro,GM,13.35,-15.75,76.3,92,52,5.86,broken clouds
226,Saint Anthony,US,45.0205,-93.218,75.65,44,0,12.66,clear sky
227,Guilin,CN,25.2819,110.2864,86.11,65,100,3.76,overcast clouds
228,Yate,GB,51.5407,-2.4184,61.74,75,100,3.76,overcast clouds
229,Bemidji,US,47.4736,-94.8803,61.05,88,0,10.36,clear sky
230,Kindu,CD,-2.95,25.95,68.38,94,7,2.21,clear sky
231,Alofi,NU,-19.0595,-169.9187,78.69,78,20,16.11,few clouds
232,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,5.75,broken clouds
233,Emporia,US,38.4039,-96.1817,86.2,62,0,5.75,clear sky
234,Vostok,RU,46.4856,135.8833,81.05,54,51,4.65,broken clouds
235,Erzin,TR,36.9559,36.2,75.56,53,0,2.75,clear sky
236,Saskylakh,RU,71.9167,114.0833,70.92,58,85,10.11,overcast clouds
237,Anadyr,RU,64.75,177.4833,52.3,81,75,11.18,broken clouds
238,East London,ZA,-33.0153,27.9116,63.63,77,100,10.2,overcast clouds
239,Nelson,NZ,-41.2833,173.2833,50.47,88,100,2.44,overcast clouds
240,Bilibino,RU,68.0546,166.4372,52.29,47,100,3.09,overcast clouds
241,Kavaratti,IN,10.5669,72.642,78.19,88,100,17.4,overcast clouds
242,Tarjan,HU,47.6104,18.5107,70.84,61,84,2.98,broken clouds
243,Elmont,US,40.7009,-73.7129,80.08,69,75,13.8,broken clouds
244,Yenagoa,NG,4.9247,6.2642,73.83,96,99,5.28,light rain
245,Paamiut,GL,61.994,-49.6678,42.01,93,67,15.82,broken clouds
246,Hualmay,PE,-11.0964,-77.6139,61.97,85,39,11.34,scattered clouds
247,Komsomolskiy,UZ,40.4272,71.7189,79.52,44,3,6.91,clear sky
248,Kenmare,IE,51.8833,-9.5833,58.06,91,98,3.98,overcast clouds
249,Klaksvik,FO,62.2266,-6.589,52.72,93,80,14.03,broken clouds
250,Bay City,US,43.5945,-83.8889,77.32,63,40,9.22,scattered clouds
251,Lagoa,PT,39.05,-27.9833,71.22,81,0,7.74,clear sky
252,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.06,82,0,10.04,clear sky
253,Riverton,US,40.5219,-111.9391,93.7,18,0,8.05,clear sky
254,Waitati,NZ,-45.75,170.5667,46.8,89,100,5.41,overcast clouds
255,Kisangani,CD,0.5167,25.2,70.59,97,100,1.99,overcast clouds
256,Kenai,US,60.5544,-151.2583,69.89,32,0,8.05,clear sky
257,Coahuayana,MX,18.7333,-103.6833,79.59,80,100,1.66,overcast clouds
258,Nome,US,64.5011,-165.4064,54.16,82,100,11.5,overcast clouds
259,Nemuro,JP,43.3236,145.575,64.35,93,54,4.36,broken clouds
260,Xining,CN,36.6167,101.7667,65.16,42,1,3.0,clear sky
261,Mwanza,TZ,-2.5167,32.9,72.1,53,100,7.63,overcast clouds
262,Bikin,RU,46.8161,134.26,86.61,57,16,4.14,few clouds
263,Kapiri Mposhi,ZM,-13.9652,28.6809,52.29,79,26,6.35,scattered clouds
264,Sohag,EG,26.557,31.6948,83.84,22,0,5.08,clear sky
265,Wanaka,NZ,-44.7,169.15,47.1,83,96,1.01,overcast clouds
266,Kununurra,AU,-15.7667,128.7333,75.18,20,5,10.36,clear sky
267,Pakdasht,IR,35.4752,51.6807,91.4,34,100,6.67,moderate rain
268,Nizwa,OM,22.9333,57.5333,76.17,81,94,6.04,overcast clouds
269,Mitu,CO,1.1983,-70.1733,71.38,99,100,1.07,heavy intensity rain
270,Bedesa,ET,8.9,40.7833,63.07,66,89,6.38,overcast clouds
